date_key,date_only,day_of_week,month,year
20240102,2024-01-02,Tuesday,1,2024
20240103,2024-01-03,Wednesday,1,2024
20240104,2024-01-04,Thursday,1,2024
20240105,2024-01-05,Friday,1,2024
20240106,2024-01-06,Saturday,1,2024
20240107,2024-01-07,Sunday,1,2024
20240108,2024-01-08,Monday,1,2024
20240109,2024-01-09,Tuesday,1,2024
20240110,2024-01-10,Wednesday,1,2024
20240111,2024-01-11,Thursday,1,2024
20240112,2024-01-12,Friday,1,2024
20240113,2024-01-13,Saturday,1,2024
20240114,2024-01-14,Sunday,1,2024
20240115,2024-01-15,Monday,1,2024
20240116,2024-01-16,Tuesday,1,2024
20240117,2024-01-17,Wednesday,1,2024
20240118,2024-01-18,Thursday,1,2024
20240119,2024-01-19,Friday,1,2024
20240120,2024-01-20,Saturday,1,2024
20240121,2024-01-21,Sunday,1,2024
20240122,2024-01-22,Monday,1,2024
20240123,2024-01-23,Tuesday,1,2024
20240124,2024-01-24,Wednesday,1,2024
20240125,2024-01-25,Thursday,1,2024
20240126,2024-01-26,Friday,1,2024
20240127,2024-01-27,Saturday,1,2024
20240128,2024-01-28,Sunday,1,2024
20240129,2024-01-29,Monday,1,2024
20240130,2024-01-30,Tuesday,1,2024
20240201,2024-02-01,Thursday,2,2024
20240202,2024-02-02,Friday,2,2024
20240203,2024-02-03,Saturday,2,2024
20240204,2024-02-04,Sunday,2,2024
20240205,2024-02-05,Monday,2,2024
20240206,2024-02-06,Tuesday,2,2024
20240207,2024-02-07,Wednesday,2,2024
20240208,2024-02-08,Thursday,2,2024
20240209,2024-02-09,Friday,2,2024
20240210,2024-02-10,Saturday,2,2024
20240211,2024-02-11,Sunday,2,2024
